UF = 11 - Rondônia
Coluna;;CNAE 2.0 Div;Tamanho Estabelecimento
Ano;Escolaridade após 2005;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;ATIVIDADES DE ATENÇÃO À SAÚDE HUMANA;Total;Total;Total;Total;Total;Total;Total;Total;Total;Total
;;De 1 a 4;De 5 a 9;De 10 a 19;De 20 a 49;De 50 a 99;De 100 a 249;De 250 a 499;De 500 a 999;1000 ou Mais;Total;De 1 a 4;De 5 a 9;De 10 a 19;De 20 a 49;De 50 a 99;De 100 a 249;De 250 a 499;De 500 a 999;1000 ou Mais;Total
2015;Total;1727;820;694;1155;857;1533;1844;0;0;8630;1727;820;694;1155;857;1533;1844;0;0;8630
;5ª Completo Fundamental;10;6;3;7;10;22;38;0;0;96;10;6;3;7;10;22;38;0;0;96
;6ª a 9ª Fundamental;28;18;30;35;16;20;120;0;0;267;28;18;30;35;16;20;120;0;0;267
;Analfabeto;0;2;0;0;0;0;2;0;0;4;0;2;0;0;0;0;2;0;0;4
;Até 5ª Incompleto;9;11;7;7;5;11;17;0;0;67;9;11;7;7;5;11;17;0;0;67
;Doutorado;0;0;0;1;1;0;2;0;0;4;0;0;0;1;1;0;2;0;0;4
;Fundamental Completo;43;28;20;72;57;51;88;0;0;359;43;28;20;72;57;51;88;0;0;359
;Mestrado;0;0;0;0;2;0;20;0;0;22;0;0;0;0;2;0;20;0;0;22
;Médio Completo;1336;553;465;760;513;1090;1134;0;0;5851;1336;553;465;760;513;1090;1134;0;0;5851
;Médio Incompleto;103;29;31;37;43;63;96;0;0;402;103;29;31;37;43;63;96;0;0;402
;Superior Completo;117;122;107;208;156;240;259;0;0;1209;117;122;107;208;156;240;259;0;0;1209
;Superior Incompleto;81;51;31;28;54;36;68;0;0;349;81;51;31;28;54;36;68;0;0;349
2016;Total;1756;852;752;963;1020;1624;1853;0;0;8820;1756;852;752;963;1020;1624;1853;0;0;8820
;5ª Completo Fundamental;9;6;6;11;13;27;36;0;0;108;9;6;6;11;13;27;36;0;0;108
;6ª a 9ª Fundamental;27;16;26;33;21;28;116;0;0;267;27;16;26;33;21;28;116;0;0;267
;Analfabeto;0;2;0;0;0;0;2;0;0;4;0;2;0;0;0;0;2;0;0;4
;Até 5ª Incompleto;13;6;5;7;4;16;17;0;0;68;13;6;5;7;4;16;17;0;0;68
;Doutorado;0;0;0;0;8;1;2;0;0;11;0;0;0;0;8;1;2;0;0;11
;Fundamental Completo;47;20;22;42;61;74;80;0;0;346;47;20;22;42;61;74;80;0;0;346
;Mestrado;1;0;0;0;1;0;5;0;0;7;1;0;0;0;1;0;5;0;0;7
;Médio Completo;1336;612;509;614;643;1087;1138;0;0;5939;1336;612;509;614;643;1087;1138;0;0;5939
;Médio Incompleto;93;28;22;40;42;87;96;0;0;408;93;28;22;40;42;87;96;0;0;408
;Superior Completo;135;119;130;186;174;269;280;0;0;1293;135;119;130;186;174;269;280;0;0;1293
;Superior Incompleto;95;43;32;30;53;35;81;0;0;369;95;43;32;30;53;35;81;0;0;369
2017;Total;1906;840;867;967;925;1607;1814;0;0;8926;1906;840;867;967;925;1607;1814;0;0;8926
;5ª Completo Fundamental;12;5;3;14;5;35;32;0;0;106;12;5;3;14;5;35;32;0;0;106
;6ª a 9ª Fundamental;33;22;17;24;24;16;103;0;0;239;33;22;17;24;24;16;103;0;0;239
;Analfabeto;0;1;0;0;0;1;1;0;0;3;0;1;0;0;0;1;1;0;0;3
;Até 5ª Incompleto;10;2;4;6;9;17;15;0;0;63;10;2;4;6;9;17;15;0;0;63
;Doutorado;0;0;0;0;8;1;3;0;0;12;0;0;0;0;8;1;3;0;0;12
;Fundamental Completo;56;28;20;34;46;55;74;0;0;313;56;28;20;34;46;55;74;0;0;313
;Mestrado;0;1;0;0;1;0;4;0;0;6;0;1;0;0;1;0;4;0;0;6
;Médio Completo;1415;576;597;638;543;1097;1125;0;0;5991;1415;576;597;638;543;1097;1125;0;0;5991
;Médio Incompleto;90;23;20;36;52;73;92;0;0;386;90;23;20;36;52;73;92;0;0;386
;Superior Completo;186;131;166;178;187;258;290;0;0;1396;186;131;166;178;187;258;290;0;0;1396
;Superior Incompleto;104;51;40;37;50;54;75;0;0;411;104;51;40;37;50;54;75;0;0;411
2018;Total;1999;956;837;1176;1129;1464;1858;0;0;9419;1999;956;837;1176;1129;1464;1858;0;0;9419
;5ª Completo Fundamental;14;9;5;12;13;23;28;0;0;104;14;9;5;12;13;23;28;0;0;104
;6ª a 9ª Fundamental;25;20;15;26;38;26;56;0;0;206;25;20;15;26;38;26;56;0;0;206
;Analfabeto;0;3;1;0;0;1;1;0;0;6;0;3;1;0;0;1;1;0;0;6
;Até 5ª Incompleto;13;4;8;5;10;15;13;0;0;68;13;4;8;5;10;15;13;0;0;68
;Doutorado;0;0;0;0;7;1;3;0;0;11;0;0;0;0;7;1;3;0;0;11
;Fundamental Completo;57;27;16;45;44;43;73;0;0;305;57;27;16;45;44;43;73;0;0;305
;Mestrado;1;1;0;0;0;0;5;0;0;7;1;1;0;0;0;0;5;0;0;7
;Médio Completo;1445;625;540;743;686;1017;1143;0;0;6199;1445;625;540;743;686;1017;1143;0;0;6199
;Médio Incompleto;96;42;22;44;74;66;75;0;0;419;96;42;22;44;74;66;75;0;0;419
;Superior Completo;217;158;193;239;192;230;379;0;0;1608;217;158;193;239;192;230;379;0;0;1608
;Superior Incompleto;131;67;37;62;65;42;82;0;0;486;131;67;37;62;65;42;82;0;0;486
2019;Total;2090;975;779;1204;1166;1377;1969;0;0;9560;2090;975;779;1204;1166;1377;1969;0;0;9560
;5ª Completo Fundamental;10;8;6;13;6;23;33;0;0;99;10;8;6;13;6;23;33;0;0;99
;6ª a 9ª Fundamental;28;12;18;24;25;15;53;0;0;175;28;12;18;24;25;15;53;0;0;175
;Analfabeto;4;4;1;1;1;1;0;0;0;12;4;4;1;1;1;1;0;0;0;12
;Até 5ª Incompleto;14;6;8;1;13;19;10;0;0;71;14;6;8;1;13;19;10;0;0;71
;Doutorado;0;0;0;0;7;0;2;0;0;9;0;0;0;0;7;0;2;0;0;9
